YEAR,MO,DY,HR,Irradiance,Temperature,Pressure,Relative Humidity,Wind Speed,Column E X 50,SOLAR(KWhr),WIND(KWhr),S+W(KWhr)
2020,1,26,17,24.14,24.52,100.62,73.12,3.11,1207,1.8105,0.622,2.4325
2020,1,26,18,0,23.59,100.7,76.5,3.35,0,0,0.67,0.67
2020,1,26,19,0,23.08,100.77,78.69,3.39,0,0,0.678,0.678
2020,1,26,20,0,22.64,100.81,80.56,3.22,0,0,0.644,0.644
2020,1,26,21,0,22.33,100.81,81.44,2.92,0,0,0.584,0.584
2020,1,26,22,0,22.25,100.77,80.94,2.58,0,0,0.516,0.516
2020,1,26,23,0,22.22,100.72,80.62,2.38,0,0,0.476,0.476
2020,1,27,0,0,21.92,100.65,82.25,2.34,0,0,0.468,0.468
2020,1,27,1,0,21.42,100.58,85.12,2.42,0,0,0.484,0.484
2020,1,27,2,0,20.95,100.55,87.81,2.36,0,0,0.472,0.472
2020,1,27,3,0,20.64,100.59,89.62,2.22,0,0,0.444,0.444
2020,1,27,4,0,20.42,100.67,90.75,2.12,0,0,0.424,0.424
2020,1,27,5,0,20.26,100.79,91.31,2.08,0,0,0.416,0.416
2020,1,27,6,38.83,21.22,100.9,87.81,2.1,1941.5,2.91225,0.42,3.33225
2020,1,27,7,238.56,23.2,100.97,79,2.35,11928,17.892,0.47,18.362
2020,1,27,8,469.73,25.47,101.01,71.44,2.47,23486.5,35.22975,0.494,35.72375
2020,1,27,9,668.67,26.96,100.98,65.62,2.69,33433.5,50.15025,0.538,50.68825
2020,1,27,10,804.87,28.13,100.89,60.94,2.77,40243.5,60.36525,0.554,60.91925
2020,1,27,11,852.13,29.01,100.77,57.62,2.88,42606.5,63.90975,0.576,64.48575
2020,1,27,12,839.87,29.47,100.63,55.62,2.98,41993.5,62.99025,0.596,63.58625
2020,1,27,13,768.64,29.53,100.51,55.06,3.11,38432,57.648,0.622,58.27
2020,1,27,14,619.44,29.25,100.45,55.88,3.41,30972,46.458,0.682,47.14
2020,1,27,15,416.43,28.58,100.45,58.25,3.73,20821.5,31.23225,0.746,31.97825
2020,1,27,16,195.32,27.23,100.48,65.62,3.64,9766,14.649,0.728,15.377
2020,1,27,17,21.63,24.97,100.54,78.25,3.2,1081.5,1.62225,0.64,2.26225
2020,1,27,18,0,24.11,100.64,81.81,3.37,0,0,0.674,0.674
2020,1,27,19,0,23.62,100.74,83.75,3.39,0,0,0.678,0.678
2020,1,27,20,0,23.2,100.8,85.31,3.35,0,0,0.67,0.67
2020,1,27,21,0,22.82,100.8,86.75,3.32,0,0,0.664,0.664
2020,1,27,22,0,22.48,100.76,88.19,3.31,0,0,0.662,0.662
2020,1,27,23,0,22.15,100.71,90,3.32,0,0,0.664,0.664
2020,1,28,0,0,21.88,100.64,91.88,3.34,0,0,0.668,0.668
2020,1,28,1,0,21.65,100.58,93.62,3.32,0,0,0.664,0.664
2020,1,28,2,0,21.44,100.54,94.94,3.15,0,0,0.63,0.63
2020,1,28,3,0,21.28,100.54,95.56,2.87,0,0,0.574,0.574
2020,1,28,4,0,21.17,100.59,95.69,2.59,0,0,0.518,0.518
2020,1,28,5,0,21.13,100.67,95.19,2.36,0,0,0.472,0.472
2020,1,28,6,37.4,22.23,100.77,90.19,2.15,1870,2.805,0.43,3.235
2020,1,28,7,216.31,24.38,100.86,79.75,2.49,10815.5,16.22325,0.498,16.72125
2020,1,28,8,433.32,26.15,100.94,72.19,2.78,21666,32.499,0.556,33.055
2020,1,28,9,622.77,27.37,100.94,66.69,3.04,31138.5,46.70775,0.608,47.31575
2020,1,28,10,765.23,28.44,100.88,62.31,3.34,38261.5,57.39225,0.668,58.06025
2020,1,28,11,797.48,29.2,100.78,59.44,3.69,39874,59.811,0.738,60.549
2020,1,28,12,827.33,29.62,100.67,57.94,4.02,41366.5,62.04975,0.804,62.85375
2020,1,28,13,761.37,29.73,100.58,57.62,4.3,38068.5,57.10275,0.86,57.96275
2020,1,28,14,603.39,29.49,100.54,58.62,4.61,30169.5,45.25425,0.922,46.17625
2020,1,28,15,409.56,28.83,100.54,61.5,4.98,20478,30.717,0.996,31.713
2020,1,28,16,193.49,27.52,100.58,68.38,5.06,9674.5,14.51175,1.012,15.52375
2020,1,28,17,22.25,25.62,100.64,78.75,4.64,1112.5,1.66875,0.928,2.59675
2020,1,28,18,0,24.88,100.73,82.5,4.96,0,0,0.992,0.992
2020,1,28,19,0,24.47,100.82,84.5,5.07,0,0,1.014,1.014
2020,1,28,20,0,24.15,100.88,85.88,5.12,0,0,1.024,1.024
2020,1,28,21,0,23.9,100.89,86.94,5.1,0,0,1.02,1.02
2020,1,28,22,0,23.66,100.85,88,4.97,0,0,0.994,0.994
2020,1,28,23,0,23.37,100.8,89.69,4.64,0,0,0.928,0.928
2020,1,29,0,0,23.08,100.73,91.25,4.31,0,0,0.862,0.862
2020,1,29,1,0,22.83,100.67,92.44,4.07,0,0,0.814,0.814
2020,1,29,2,0,22.55,100.63,93.5,3.73,0,0,0.746,0.746
2020,1,29,3,0,22.26,100.65,94.5,3.38,0,0,0.676,0.676
2020,1,29,4,0,22.04,100.71,95.25,3.02,0,0,0.604,0.604
2020,1,29,5,0,21.83,100.79,96.06,2.65,0,0,0.53,0.53
2020,1,29,6,37.77,22.96,100.89,90.75,2.28,1888.5,2.83275,0.456,3.28875
2020,1,29,7,213.38,25.22,100.98,78.06,2.53,10669,16.0035,0.506,16.5095
2020,1,29,8,424.88,27.01,101.05,68.44,2.92,21244,31.866,0.584,32.45
2020,1,29,9,594.07,28.19,101.05,63.38,2.82,29703.5,44.55525,0.564,45.11925
2020,1,29,10,766.82,29.15,100.97,59.25,2.74,38341,57.5115,0.548,58.0595
2020,1,29,11,886.2,29.86,100.86,55.69,2.79,44310,66.465,0.558,67.023
2020,1,29,12,885.8,30.3,100.75,53.06,2.99,44290,66.435,0.598,67.033
2020,1,29,13,805.6,30.4,100.65,51.75,3.24,40280,60.42,0.648,61.068
2020,1,29,14,653.69,30.15,100.59,52,3.58,32684.5,49.02675,0.716,49.74275
2020,1,29,15,445.96,29.44,100.58,54.19,3.93,22298,33.447,0.786,34.233
2020,1,29,16,208.1,27.98,100.61,61.75,3.96,10405,15.6075,0.792,16.3995
2020,1,29,17,24.77,25.54,100.66,74.94,3.56,1238.5,1.85775,0.712,2.56975
2020,1,29,18,0,24.58,100.75,79,3.79,0,0,0.758,0.758
2020,1,29,19,0,24.04,100.84,81.44,3.85,0,0,0.77,0.77
2020,1,29,20,0,23.59,100.89,83.06,3.84,0,0,0.768,0.768
2020,1,29,21,0,23.2,100.9,84.19,3.83,0,0,0.766,0.766
2020,1,29,22,0,22.83,100.88,85.12,3.79,0,0,0.758,0.758
2020,1,29,23,0,22.49,100.85,86.06,3.76,0,0,0.752,0.752
